YY,MM,DD,hh,mm,WVHT_m,DPD_sec,APD_sec,MWD_degT,WTMP_degC
2013,1,1,5,55,2.92,7.69,5.9,267,10.1
2013,1,1,6,25,3.2,7.69,6.04,262,10.1
2013,1,1,6,55,2.9,7.69,5.94,263,10.1
2013,1,1,7,25,2.87,7.14,5.7,270,10.1
2013,1,1,7,55,2.97,7.69,6.03,267,10.1
2013,1,1,8,25,3.12,8.33,6.22,262,10.1
2013,1,1,8,55,2.85,7.69,6.02,266,10.1
2013,1,1,9,25,2.88,8.33,6,262,10.1
2013,1,1,9,55,2.9,8.33,6,269,10.1
2013,1,1,10,25,2.72,7.69,5.73,271,10.1
2013,1,1,10,55,2.84,7.69,5.85,270,10.1
2013,1,1,11,25,2.64,8.33,5.69,262,10.1
2013,1,1,11,55,3.01,7.69,5.97,270,10.1
2013,1,1,12,25,2.75,7.69,5.73,270,10.2
2013,1,1,12,55,2.77,7.69,5.87,263,10.2
2013,1,1,13,25,2.67,7.69,5.72,264,10.1
2013,1,1,13,55,2.6,7.69,5.71,264,10
2013,1,1,14,25,2.55,7.69,5.64,264,10
2013,1,1,14,55,2.55,6.67,5.57,266,9.9
2013,1,1,15,25,2.46,7.69,5.6,254,9.9
2013,1,1,15,55,2.24,7.69,5.27,254,9.8
2013,1,1,16,25,2.34,7.69,5.37,257,9.7
2013,1,1,16,55,2.46,7.69,5.44,252,9.7
2013,1,1,17,25,2.46,7.14,5.4,259,9.6
2013,1,1,17,55,2.3,5.88,5.17,287,9.6
2013,1,1,18,25,2.17,6.67,5.17,264,9.6
2013,1,1,18,55,2.16,7.69,5.17,247,9.6
2013,1,1,19,25,2.04,5.56,5.09,291,9.6
2013,1,1,19,55,2.09,7.14,5.21,262,9.5
2013,1,1,20,25,2.13,7.14,5.46,257,9.5
2013,1,1,20,55,1.96,6.67,5.28,266,9.5
2013,1,1,21,25,1.97,7.69,5.3,253,9.5
2013,1,1,21,55,1.91,9.09,5.18,238,9.5
2013,1,1,22,25,1.98,6.25,5.16,267,9.5
2013,1,1,22,55,1.96,7.14,5.06,257,9.5
2013,1,1,23,25,1.98,8.33,5.22,242,9.5
2013,1,1,23,55,1.92,8.33,5.08,245,9.4
2013,1,2,0,25,1.91,4.76,4.94,330,9.5
2013,1,2,0,55,2.01,5,5.01,332,9.5
2013,1,2,1,25,2,5.56,5.07,319,9.5
2013,1,2,1,55,2.1,5.26,4.96,335,9.5
2013,1,2,2,25,2.1,5.56,5.15,342,9.5
2013,1,2,2,55,1.9,5.26,4.99,347,9.5
2013,1,2,3,25,1.89,5,4.82,333,9.5
2013,1,2,3,55,1.9,5.56,4.99,329,9.6
2013,1,2,4,25,1.76,5.26,4.7,342,9.6
2013,1,2,4,55,1.82,5.26,4.83,335,9.6
2013,1,2,5,25,1.78,5,4.82,336,9.6
2013,1,2,5,55,1.79,4.76,4.63,340,9.6
2013,1,2,6,25,1.71,5.56,4.74,316,9.6
2013,1,2,6,55,1.58,5,4.5,329,9.6
2013,1,2,7,25,1.58,5.26,4.49,308,9.7
2013,1,2,7,55,1.56,5.26,4.45,316,9.7
2013,1,2,8,25,1.39,5.26,4.33,311,9.8
2013,1,2,8,55,1.42,4.35,4.36,340,9.8
2013,1,2,9,25,1.36,4.76,4.22,322,9.8
2013,1,2,9,55,1.37,7.69,4.45,236,9.8
2013,1,2,10,25,1.27,7.69,4.23,228,9.9
2013,1,2,10,55,1.27,7.69,4.21,229,10
2013,1,2,11,25,1.29,4.55,4.23,329,10.1
2013,1,2,11,55,1.18,4.76,4.19,319,10
2013,1,2,12,25,1.13,4.76,4.24,322,10
2013,1,2,12,55,1.16,4,4.03,344,10.1
2013,1,2,13,25,1.25,4.35,4.21,330,10
2013,1,2,13,55,1.14,4.17,4.05,347,10
2013,1,2,14,25,1.08,4.17,3.95,335,10.1
2013,1,2,14,55,1.16,4.17,4.01,337,10
2013,1,2,15,25,1.08,4.17,3.92,339,10
2013,1,2,15,55,1.14,4.17,3.9,325,10
2013,1,2,16,25,1.15,4.17,3.97,332,10
2013,1,2,16,55,1.19,4.55,4.1,328,10
2013,1,2,17,25,1.18,4.55,3.91,321,10
2013,1,2,17,55,1.25,4.55,3.97,322,10
2013,1,2,18,25,1.17,4.35,3.89,323,10
2013,1,2,18,55,1.2,4.76,3.87,311,9.9
2013,1,2,19,25,1.24,4.55,3.99,323,9.9
2013,1,2,19,55,1.23,4.76,3.95,315,9.9
2013,1,2,20,25,1.25,4.55,3.97,311,9.9
2013,1,2,20,55,1.19,4.76,3.97,312,9.9
2013,1,2,21,25,1.28,4.76,3.94,307,9.9
2013,1,2,21,55,1.3,4.76,3.99,305,9.9
2013,1,2,22,25,1.39,4.76,4.06,311,9.8
2013,1,2,22,55,1.41,4.76,4.05,309,9.8
2013,1,2,23,25,1.53,4.76,4.13,316,9.8
2013,1,2,23,55,1.59,4.76,4.2,335,9.9
2013,1,3,0,25,1.64,5,4.29,326,9.8
2013,1,3,0,55,1.56,5.26,4.28,316,9.8
2013,1,3,1,25,1.66,5,4.36,329,9.9
2013,1,3,1,55,1.5,5,4.22,329,9.8
2013,1,3,2,25,1.53,5,4.36,319,9.9
2013,1,3,2,55,1.56,5,4.39,318,9.8
2013,1,3,3,25,1.46,5.56,4.27,314,9.9
2013,1,3,3,55,1.59,5.56,4.43,307,9.8
2013,1,3,4,25,1.62,5.26,4.42,311,9.8
2013,1,3,4,55,1.68,5.56,4.48,304,9.8
2013,1,3,5,25,1.71,5.26,4.54,319,9.8
2013,1,3,5,55,1.75,5.56,4.47,316,9.8
2013,1,3,6,25,1.86,5.88,4.63,312,9.8
2013,1,3,6,55,1.78,5.88,4.52,315,9.7
2013,1,3,7,25,1.7,5.88,4.47,312,9.8
2013,1,3,7,55,1.76,5.26,4.42,322,9.7
2013,1,3,8,25,1.69,5.56,4.45,314,9.7
2013,1,3,8,55,1.83,5.56,4.6,314,9.6
2013,1,3,9,25,1.63,5.88,4.47,309,9.5
2013,1,3,9,55,1.65,5.88,4.46,308,9.4
2013,1,3,10,25,1.48,5.56,4.36,308,9.5
2013,1,3,10,55,1.39,5.56,4.21,311,9.4
2013,1,3,11,25,1.33,5.26,4.18,315,9.4
2013,1,3,11,55,1.31,5,4.09,315,9.4
2013,1,3,12,25,1.25,5.56,4.02,304,9.4
2013,1,3,12,55,1.16,4.76,3.94,304,9.4
2013,1,3,13,25,1.14,5,3.86,301,9.4
2013,1,3,13,55,1.1,4.76,3.78,302,9.4
2013,1,3,14,25,1.12,4,3.76,340,9.4
2013,1,3,14,55,1.1,4.35,3.76,323,9.5
2013,1,3,15,25,1.2,4.35,3.89,325,9.4
2013,1,3,15,55,1.05,4.35,3.76,322,9.4
2013,1,3,16,25,1.1,4.55,3.78,321,9.4
2013,1,3,16,55,1.04,4,3.75,332,9.4
2013,1,3,17,25,1,4.55,3.68,304,9.4
2013,1,3,17,55,1.04,4.55,3.8,307,9.4
2013,1,3,18,25,0.96,4.76,3.78,302,9.4
2013,1,3,18,55,1,4.55,3.78,301,9.4
2013,1,3,19,25,1.01,4.55,3.75,302,9.4
2013,1,3,19,55,1.07,4.76,3.72,302,9.4
2013,1,3,20,25,1.15,4.76,3.81,302,9.3
2013,1,3,20,55,1.11,4.55,3.86,305,9.3
2013,1,3,21,25,1.06,5,3.81,290,9.3
2013,1,3,21,55,1.01,5,3.76,288,9.3
2013,1,3,22,25,0.98,4.76,3.72,292,9.3
2013,1,3,22,55,0.97,4.55,3.63,295,9.3
2013,1,3,23,25,0.98,4.55,3.73,294,9.3
2013,1,3,23,55,0.96,4.35,3.66,298,9.3
2013,1,4,0,25,0.96,4.35,3.67,299,9.2
2013,1,4,0,55,0.95,4.35,3.61,295,9.2
2013,1,4,1,25,0.99,4.35,3.74,294,9.2
2013,1,4,1,55,0.98,4.17,3.78,299,9.2
2013,1,4,2,25,1.08,4.55,3.82,285,9.2
2013,1,4,2,55,1.05,4.76,3.91,281,9.2
2013,1,4,3,25,1.13,4.76,3.99,280,9.3
2013,1,4,3,55,1.19,4.76,3.99,281,9.3
2013,1,4,4,25,1.22,4.76,3.95,285,9.3
2013,1,4,4,55,1.34,4.76,4.05,284,9.3
2013,1,4,5,25,1.38,4.55,4.09,292,9.3
2013,1,4,5,55,1.5,5,4.23,283,9.3
2013,1,4,6,25,1.56,5.26,4.36,288,9.3
2013,1,4,6,55,1.71,5.56,4.57,280,9.3
2013,1,4,7,25,1.58,5.56,4.61,274,9.3
2013,1,4,7,55,1.67,6.25,4.67,267,9.3
2013,1,4,8,25,1.73,5.26,4.61,284,9.3
2013,1,4,8,55,1.78,5.88,4.64,281,9.3
2013,1,4,9,25,1.79,5.56,4.67,298,9.3
2013,1,4,9,55,1.91,5.88,4.83,291,9.3
2013,1,4,10,25,1.78,6.25,4.68,287,9.3
2013,1,4,10,55,1.7,6.25,4.77,277,9.3
2013,1,4,11,25,1.78,5.88,4.87,291,9.4
2013,1,4,11,55,1.75,6.25,4.86,278,9.4
2013,1,4,12,25,1.76,5.56,4.76,297,9.3
2013,1,4,12,55,1.72,5.56,4.69,299,9.3
2013,1,4,13,25,1.82,6.67,5.03,273,9.4
2013,1,4,13,55,1.81,6.25,4.91,274,9.5
2013,1,4,14,25,1.76,6.67,4.97,270,9.7
2013,1,4,14,55,1.76,6.67,5.05,270,9.7
2013,1,4,15,25,1.75,6.67,5.02,270,9.7
2013,1,4,15,55,1.79,6.67,5.06,276,9.7
2013,1,4,16,25,1.86,6.25,5.05,277,9.8
2013,1,4,16,55,1.83,7.14,5.05,273,9.7
2013,1,4,17,25,1.92,6.67,5.2,274,9.7
2013,1,4,17,55,2.09,6.67,5.22,271,9.8
2013,1,4,18,25,2.01,7.14,5.2,263,9.8
2013,1,4,18,55,2.02,7.14,5.16,264,9.8
2013,1,4,19,25,2.09,7.14,5.07,260,9.8
2013,1,4,19,55,2.09,5.88,5.06,274,9.8
2013,1,4,20,25,2.28,7.14,5.31,262,9.7
2013,1,4,20,55,2.37,6.67,5.34,266,9.6
2013,1,4,21,25,2.36,6.25,5.34,269,9.7
2013,1,4,21,55,2.62,7.14,5.6,269,9.6
2013,1,4,22,25,2.55,7.14,5.48,264,9.6
2013,1,4,22,55,2.72,7.14,5.83,264,9.6
2013,1,4,23,25,2.73,7.69,5.89,263,9.6
2013,1,4,23,55,2.48,7.69,5.74,264,9.6
2013,1,5,0,25,2.74,7.69,5.83,264,9.6
2013,1,5,0,55,2.7,7.69,5.92,263,9.6
2013,1,5,1,25,2.52,6.67,5.69,269,9.5
2013,1,5,1,55,2.81,7.69,5.91,263,9.5
2013,1,5,2,25,2.69,7.14,5.78,273,9.5
2013,1,5,2,55,2.67,7.69,5.89,263,9.5
2013,1,5,3,25,2.73,7.69,5.98,264,9.5
2013,1,5,3,55,2.82,7.14,5.8,267,9.5
2013,1,5,4,25,2.61,7.69,5.73,273,9.5
2013,1,5,4,55,2.84,7.69,5.99,267,9.6
2013,1,5,5,25,2.59,7.69,5.74,277,9.6
2013,1,5,5,55,2.76,8.33,5.89,263,9.6
2013,1,5,6,25,2.67,7.69,5.76,270,9.6
2013,1,5,6,55,2.59,7.69,5.72,267,9.5
2013,1,5,7,25,2.41,7.69,5.63,267,9.5
2013,1,5,7,55,2.58,7.69,5.78,270,9.4
2013,1,5,8,25,2.52,7.69,5.69,271,9.5
2013,1,5,8,55,2.35,7.69,5.39,269,9.5
2013,1,5,9,25,2.68,7.69,5.69,264,9.5
2013,1,5,9,55,2.62,7.69,5.72,264,9.5
2013,1,5,10,25,2.48,8.33,5.55,253,9.5
2013,1,5,10,55,2.34,7.69,5.64,260,9.5
2013,1,5,11,25,2.16,8.33,5.43,252,9.5
2013,1,5,11,55,2.12,7.69,5.64,257,9.4
2013,1,5,12,25,2.15,7.14,5.48,263,9.4
2013,1,5,12,55,1.95,7.69,5.32,253,9.4
2013,1,5,13,25,2.14,7.69,5.36,256,9.4
2013,1,5,13,55,2.07,7.69,5.34,257,9.4
2013,1,5,14,25,2.11,7.14,5.45,263,9.4
2013,1,5,14,55,2.18,7.69,5.51,259,9.4
2013,1,5,15,25,2.17,7.69,5.46,262,9.4
2013,1,5,15,55,2.1,7.69,5.34,259,9.4
2013,1,5,16,25,2.08,7.69,5.17,259,9.4
2013,1,5,16,55,2.01,7.14,5.16,269,9.4
2013,1,5,17,25,1.98,7.14,5.15,263,9.4
2013,1,5,17,55,1.83,7.14,4.92,266,9.4
2013,1,5,18,25,1.86,5.88,5.07,273,9.4
2013,1,5,18,55,1.69,6.67,4.96,269,9.4
2013,1,5,19,25,1.73,7.14,4.98,259,9.4
2013,1,5,19,55,1.57,6.67,4.96,266,9.4
2013,1,5,20,25,1.55,6.67,4.73,263,9.4
2013,1,5,20,55,1.48,6.67,4.78,269,9.3
2013,1,5,21,25,1.42,6.25,4.64,274,9.3
2013,1,5,21,55,1.28,7.14,4.62,259,9.4
2013,1,5,22,25,1.2,6.25,4.41,267,9.3
2013,1,5,22,55,1.22,6.25,4.64,267,9.3
2013,1,5,23,25,1.08,5.88,4.44,278,9.3
2013,1,5,23,55,1.06,6.67,4.39,262,9.3
2013,1,6,0,25,1.02,6.67,4.26,262,9.3
2013,1,6,0,55,0.92,5.26,4.19,276,9.2
2013,1,6,1,25,0.93,6.67,4.39,254,9.2
2013,1,6,1,55,0.83,5.88,4.25,262,9.2
2013,1,6,2,25,0.85,6.25,4.36,254,9.2
2013,1,6,2,55,0.81,6.67,4.45,254,9.3
2013,1,6,3,25,0.74,5.26,4.27,269,9.3
2013,1,6,3,55,0.8,6.25,4.51,249,9.3
2013,1,6,4,25,0.8,6.25,4.53,245,9.4
2013,1,6,4,55,0.72,6.25,4.44,245,9.4
2013,1,6,5,25,0.75,6.25,4.57,253,9.4
2013,1,6,5,55,0.75,6.25,4.68,240,9.4
2013,1,6,6,25,0.64,5.56,4.48,256,9.4
2013,1,6,6,55,0.69,5.88,4.66,249,9.4
2013,1,6,7,25,0.67,5.88,4.39,242,9.4
2013,1,6,7,55,0.7,5.88,4.34,243,9.4
2013,1,6,8,25,0.7,5.56,4.16,247,9.4
2013,1,6,8,55,0.69,5.26,3.89,252,9.4
2013,1,6,9,25,0.74,5,3.77,250,9.4
2013,1,6,9,55,0.89,3.57,3.63,263,9.4
2013,1,6,10,25,0.94,3.85,3.65,273,9.4
2013,1,6,10,55,1.06,4.35,3.86,256,9.4
2013,1,6,11,25,1.23,5.26,4.04,242,9.4
2013,1,6,11,55,1.28,5,4.12,254,9.4
2013,1,6,12,25,1.34,5.26,4.22,256,9.4
2013,1,6,12,55,1.33,5.26,4.29,263,9.4
2013,1,6,13,25,1.32,5.56,4.38,254,9.4
2013,1,6,13,55,1.29,5.26,4.28,262,9.3
2013,1,6,14,25,1.23,5.56,4.3,254,9.3
2013,1,6,14,55,1.34,5.26,4.45,262,9.3
2013,1,6,15,25,1.36,5.56,4.37,259,9.2
2013,1,6,15,55,1.38,5.26,4.4,264,9.2
2013,1,6,16,25,1.53,5.56,4.51,257,9.2
2013,1,6,16,55,1.54,5.56,4.6,253,9.2
2013,1,6,17,25,1.56,5.26,4.55,269,9.2
2013,1,6,17,55,1.51,5.26,4.54,266,9.1
2013,1,6,18,25,1.58,5.56,4.65,253,9.2
2013,1,6,18,55,1.4,5.56,4.45,259,9.1
2013,1,6,19,25,1.43,5.56,4.58,260,9.1
2013,1,6,19,55,1.5,5.56,4.63,264,9.1
2013,1,6,20,25,1.37,5.88,4.52,256,9.1
2013,1,6,20,55,1.36,5.88,4.5,260,9.1
2013,1,6,21,25,1.28,5.56,4.35,266,9.1
2013,1,6,21,55,1.25,5.56,4.34,264,9.1
2013,1,6,22,25,1.25,5.56,4.4,266,9.1
2013,1,6,22,55,1.18,5.56,4.36,270,9.1
2013,1,6,23,25,1.21,5.56,4.47,263,9.1
2013,1,6,23,55,1.19,5.88,4.42,263,9.1
2013,1,7,0,25,1.23,5.88,4.56,262,9.1
2013,1,7,0,55,1.2,5.88,4.48,260,9.1
2013,1,7,1,25,1.23,5.56,4.49,263,9
2013,1,7,1,55,1.17,5.88,4.47,259,9
2013,1,7,2,25,1.18,5.88,4.48,254,9
2013,1,7,2,55,1.19,5.88,4.45,252,9
2013,1,7,3,25,1.19,5.88,4.47,250,9
2013,1,7,3,55,1.19,5.88,4.33,254,9
2013,1,7,4,25,1.23,5.88,4.33,253,8.9
2013,1,7,4,55,1.23,5.56,4.23,254,9
2013,1,7,5,25,1.37,5.88,4.36,252,9
2013,1,7,5,55,1.37,5.56,4.43,249,9
2013,1,7,6,25,1.33,5.88,4.29,252,9
2013,1,7,6,55,1.34,5.56,4.31,259,9
2013,1,7,7,25,1.33,5.56,4.26,259,8.9
2013,1,7,7,55,1.3,5.56,4.33,254,8.9
2013,1,7,8,25,1.36,5.88,4.37,257,8.9
2013,1,7,8,55,1.37,5.88,4.25,250,8.9
2013,1,7,9,25,1.39,5.88,4.34,257,8.9
2013,1,7,9,55,1.38,5.88,4.36,259,9
2013,1,7,10,25,1.37,6.25,4.29,257,9
2013,1,7,10,55,1.4,6.25,4.27,259,9
2013,1,7,11,25,1.31,5.88,4.15,256,9
2013,1,7,11,55,1.26,4,4.16,336,9
2013,1,7,12,25,1.21,4.35,3.99,304,9
2013,1,7,12,55,1.37,4.55,4.03,319,9
2013,1,7,13,25,1.45,4.35,4.1,333,9
2013,1,7,13,55,1.45,4.55,4.13,335,8.9
2013,1,7,14,25,1.5,4.55,4.17,342,8.9
2013,1,7,14,55,1.47,4.76,4.19,325,8.9
2013,1,7,15,25,1.27,4.55,4.02,347,8.9
2013,1,7,15,55,1.24,4.76,3.96,326,8.9
2013,1,7,16,25,1.22,4.55,4.04,329,8.9
2013,1,7,16,55,1.19,4.55,4.04,322,8.9
2013,1,7,17,25,1.11,4.55,3.94,321,8.9
2013,1,7,17,55,1.08,4.35,3.95,328,8.9
2013,1,7,18,25,1.13,4.17,3.92,340,8.9
2013,1,7,18,55,1.1,4.17,3.87,359,8.9
2013,1,7,19,25,1.1,4.35,3.92,356,9
2013,1,7,19,55,0.96,4.17,3.85,349,9
2013,1,7,20,25,0.85,4.17,3.81,353,9
2013,1,7,20,55,0.76,4,3.86,357,9
2013,1,7,21,25,0.73,3.85,3.84,4,9
2013,1,7,21,55,0.64,3.7,3.8,11,9
2013,1,7,22,25,0.64,5,3.86,274,9
2013,1,7,22,55,0.63,4.55,3.94,280,9
2013,1,7,23,25,0.64,5.26,4.03,257,9
2013,1,7,23,55,0.66,4.76,4,254,9
2013,1,8,0,25,0.69,5,4.1,270,9.1
2013,1,8,0,55,0.68,4.35,3.99,263,9.1
2013,1,8,1,25,0.64,5,4.07,253,9.1
2013,1,8,1,55,0.61,4.76,3.94,273,9
2013,1,8,2,25,0.65,4.76,3.87,259,9.1
2013,1,8,2,55,0.64,5.26,3.74,269,9.1
2013,1,8,3,25,0.6,4.55,3.42,264,9.1
2013,1,8,3,55,0.62,4.55,3.41,267,9.1
2013,1,8,4,25,0.62,4.35,3.41,266,9.2
2013,1,8,4,55,0.61,2.7,3.3,215,9.2
2013,1,8,5,25,0.6,2.56,3.26,202,9.2
2013,1,8,5,55,0.63,2.86,3.26,239,9.2
2013,1,8,6,25,0.73,3.03,3.23,250,9.2
2013,1,8,6,55,0.78,3.12,3.25,245,9.2
2013,1,8,7,25,0.84,3.45,3.32,249,9.2
2013,1,8,7,55,0.89,3.7,3.36,259,9.2
2013,1,8,8,25,0.91,3.85,3.44,257,9.2
2013,1,8,8,55,0.97,4,3.52,264,9.3
2013,1,8,9,25,1.06,4.17,3.64,259,9.3
2013,1,8,9,55,1.17,4.35,3.75,260,9.3
2013,1,8,10,25,1.23,4.55,3.82,266,9.3
2013,1,8,10,55,1.3,5,4.03,269,9.3
2013,1,8,11,25,1.43,5,4.17,264,9.3
2013,1,8,11,55,1.55,5,4.29,263,9.3
2013,1,8,12,25,1.61,5.26,4.38,269,9.3
2013,1,8,12,55,1.81,5.56,4.76,266,9.3
2013,1,8,13,55,1.61,5.88,4.51,267,9.2
2013,1,8,14,25,1.81,5.88,4.79,267,9.2
2013,1,8,14,55,1.86,6.25,4.92,267,9.2
2013,1,8,15,25,1.8,5.88,4.84,270,9.2
2013,1,8,15,55,1.94,5.88,4.89,267,9.2
2013,1,8,16,25,1.88,5.88,4.94,274,9.2
2013,1,8,16,55,2,5.88,5.02,270,9.2
2013,1,8,17,25,1.93,6.25,5.02,267,9.2
2013,1,8,17,55,2.02,6.25,5.16,270,9.2
2013,1,8,18,25,1.86,6.67,4.92,267,9.2
2013,1,8,18,55,1.83,6.25,4.89,267,9.2
2013,1,8,19,25,1.86,6.25,4.9,267,9.2
2013,1,8,19,55,1.77,6.67,4.89,263,9.2
2013,1,8,20,25,1.77,6.67,4.9,270,9.2
2013,1,8,20,55,1.72,5.88,4.83,270,9.3
2013,1,8,21,25,1.65,6.25,4.82,267,9.3
2013,1,8,21,55,1.7,6.25,4.72,263,9.3
2013,1,8,22,25,1.67,6.25,4.75,263,9.3
2013,1,8,22,55,1.57,6.25,4.64,264,9.3
2013,1,8,23,25,1.57,6.25,4.62,260,9.3
2013,1,8,23,55,1.62,6.25,4.63,262,9.3
2013,1,9,0,25,1.64,6.25,4.63,260,9.3
2013,1,9,0,55,1.58,6.25,4.68,260,9.2
2013,1,9,1,25,1.54,6.25,4.7,260,9.2
2013,1,9,1,55,1.53,6.25,4.65,266,9.2
2013,1,9,2,25,1.49,5.88,4.57,262,9.2
2013,1,9,2,55,1.43,6.25,4.49,259,9.2
2013,1,9,3,25,1.47,5.88,4.62,266,9.2
2013,1,9,3,55,1.36,5.88,4.47,256,9.2
2013,1,9,4,25,1.42,5.56,4.55,247,9.2
2013,1,9,4,55,1.43,5.88,4.67,259,9.2
2013,1,9,5,25,1.31,5.88,4.5,256,9.2
2013,1,9,5,55,1.24,5.88,4.4,245,9.2
2013,1,9,6,25,1.48,5.88,4.84,245,9.2
2013,1,9,6,55,1.31,5.88,4.78,247,9.2
2013,1,9,7,25,1.12,5.88,4.45,242,9.2
2013,1,9,7,55,1.26,6.25,4.75,242,9.2
2013,1,9,8,25,1.22,5.88,4.7,252,9.2
2013,1,9,8,55,1.14,6.25,4.65,236,9.2
2013,1,9,9,25,1.14,5.88,4.67,242,9.3
2013,1,9,9,55,1.06,5.88,4.61,247,9.3
2013,1,9,10,25,1.04,5.56,4.58,247,9.4
2013,1,9,10,55,1.04,5.88,4.63,239,9.3
2013,1,9,11,25,0.94,5.56,4.58,250,9.2
2013,1,9,11,55,0.92,5.88,4.61,233,9.2
2013,1,9,12,25,0.87,5.88,4.59,240,9.2
2013,1,9,12,55,0.86,5.26,4.56,252,9.2
2013,1,9,13,25,0.87,5.56,4.68,240,9.2
2013,1,9,13,55,0.79,5.26,4.63,245,9.2
2013,1,9,14,25,0.74,5.56,4.6,238,9.2
2013,1,9,14,55,0.76,5.56,4.66,239,9.1
2013,1,9,15,25,0.71,5.56,4.64,235,9.1
2013,1,9,15,55,0.68,5,4.64,246,9.1
2013,1,9,16,25,0.72,5.26,4.64,245,9.1
2013,1,9,16,55,0.63,5.26,4.44,240,9.1
2013,1,9,17,25,0.65,5,4.33,254,9.1
2013,1,9,17,55,0.66,5.26,4.31,235,9.1
2013,1,9,18,25,0.61,5,4.03,249,9.1
2013,1,9,18,55,0.61,5,4,236,9.1
2013,1,9,19,25,0.6,5,3.95,236,9.1
2013,1,9,19,55,0.62,4.55,4.01,247,9.1
2013,1,9,20,25,0.6,4.76,4.1,249,9.1
2013,1,9,20,55,0.61,4.55,4.2,254,9.1
2013,1,9,21,25,0.61,4.55,3.58,239,9.1
2013,1,9,21,55,0.75,4.55,3.41,245,9.2
2013,1,9,22,25,0.88,4,3.52,260,9.2
2013,1,9,22,55,0.95,4.17,3.6,262,9.2
2013,1,9,23,25,1.05,4.17,3.66,249,9.2
2013,1,9,23,55,1.2,4.35,3.85,254,9.2
2013,1,10,0,25,1.37,4.35,4,253,9.2
2013,1,10,0,55,1.38,4.55,4.03,254,9.2
2013,1,10,1,25,1.58,5.26,4.31,259,9.1
2013,1,10,1,55,1.71,5.26,4.45,266,9.1
2013,1,10,2,25,1.86,5.56,4.67,263,9.1
2013,1,10,2,55,2.13,6.25,4.97,263,9.1
2013,1,10,3,25,2.26,6.25,5.15,259,9.1
2013,1,10,3,55,2.38,6.25,5.37,256,9.1
2013,1,10,4,55,2.31,6.67,5.39,262,9
2013,1,10,5,25,2.32,6.67,5.42,257,9
2013,1,10,5,55,2.39,7.14,5.6,254,9
2013,1,10,6,25,2.46,7.14,5.55,254,9
2013,1,10,6,55,2.19,7.14,5.4,256,9
2013,1,10,7,25,2.28,6.67,5.36,254,9
2013,1,10,7,55,2.23,7.14,5.32,254,9
2013,1,10,8,25,2.26,7.14,5.32,254,9
2013,1,10,8,55,2.32,7.14,5.27,257,9
2013,1,10,9,25,2.51,7.14,5.36,256,9
2013,1,10,9,55,2.45,7.14,5.39,262,9
2013,1,10,10,25,2.49,7.69,5.55,256,9
2013,1,10,10,55,2.31,7.14,5.37,262,9
2013,1,10,11,25,2.41,7.14,5.4,260,9
2013,1,10,11,55,2.19,7.14,5.27,263,9
2013,1,10,12,25,2.13,7.14,5.06,260,9
2013,1,10,12,55,1.98,6.67,4.93,263,9.1
2013,1,10,13,25,1.84,6.67,4.68,262,9.1
2013,1,10,13,55,1.8,6.25,4.7,266,9.1
2013,1,10,14,25,1.85,6.67,4.81,264,9.1
2013,1,10,14,55,1.84,6.67,4.84,266,9.2
2013,1,10,15,25,1.77,6.25,4.58,270,9.2
2013,1,10,15,55,1.62,6.25,4.5,274,9.3
