#YY,MM,DD,hh,mm,WVHT_m,DPD_sec,APD_sec,MWD_degT,WTMP_degC
2014,1,1,0,25,1.59,5.26,4.54,280,8.4
2014,1,1,0,55,1.61,5.56,4.54,280,8.4
2014,1,1,1,25,1.94,5.56,4.86,281,8.4
2014,1,1,1,55,1.84,5.88,4.87,276,8.4
2014,1,1,2,25,1.98,5.88,4.88,277,8.4
2014,1,1,2,55,1.99,6.25,4.96,270,8.4
2014,1,1,3,25,2,6.25,5.09,271,8.4
2014,1,1,3,55,2.16,6.67,5.24,271,8.4
2014,1,1,4,25,2.09,6.25,5.19,284,8.5
2014,1,1,4,55,2.08,5.88,5.31,291,8.4
2014,1,1,5,25,1.97,6.25,5.09,276,8.4
2014,1,1,5,55,1.99,6.67,5.24,270,8.4
2014,1,1,6,25,2.06,6.67,5.29,271,8.4
2014,1,1,6,55,1.99,7.14,5.37,269,8.4
2014,1,1,7,25,2.08,7.14,5.39,267,8.3
2014,1,1,7,55,1.95,7.14,5.26,269,8.3
2014,1,1,8,25,1.83,7.14,5.23,264,8.3
2014,1,1,8,55,1.78,6.25,5.14,274,8.2
2014,1,1,9,25,1.82,7.14,5.31,270,8.2
2014,1,1,9,55,1.72,6.67,5.13,277,8.2
2014,1,1,10,25,1.61,7.14,5,270,8.2
2014,1,1,10,55,1.57,7.14,5,270,8.2
2014,1,1,11,25,1.74,7.14,4.98,263,8.2
2014,1,1,11,55,1.59,6.67,4.86,263,8.2
2014,1,1,12,25,1.5,6.25,4.83,269,8.2
2014,1,1,12,55,1.35,6.25,4.61,264,8.2
2014,1,1,13,25,1.39,6.25,4.54,269,8.3
2014,1,1,13,55,1.38,5.88,4.48,270,8.3
2014,1,1,14,25,1.36,5.88,4.45,267,8.3
2014,1,1,14,55,1.37,5.56,4.51,270,8.3
2014,1,1,15,25,1.37,5.56,4.64,274,8.3
2014,1,1,15,55,1.34,5.88,4.66,264,8.3
2014,1,1,16,25,1.34,6.25,4.89,264,8.3
2014,1,1,16,55,1.38,6.25,4.79,263,8.3
2014,1,1,17,25,1.35,5.88,4.85,269,8.2
2014,1,1,17,55,1.34,5.88,4.77,269,8.2
2014,1,1,18,25,1.34,6.25,4.64,259,8.2
2014,1,1,18,55,1.32,6.25,4.51,260,8.2
2014,1,1,19,25,1.32,5.88,4.53,269,8.1
2014,1,1,19,55,1.31,5.26,4.5,278,8.1
2014,1,1,20,25,1.41,6.25,4.54,257,8.1
2014,1,1,20,55,1.35,5.56,4.53,274,8.1
2014,1,1,21,25,1.24,5.56,4.49,267,8.1
2014,1,1,21,55,1.23,5.26,4.43,278,8.1
2014,1,1,22,25,1.13,5.56,4.37,274,8.1
2014,1,1,22,55,1.11,5.56,4.34,270,8.1
2014,1,1,23,25,1.02,5.26,4.25,273,8.2
2014,1,1,23,55,1.01,5.26,4.15,273,8.3
2014,1,2,0,25,0.94,5.56,4.24,267,8.3
2014,1,2,0,55,0.88,5.56,4.07,259,8.4
2014,1,2,1,25,0.83,5.26,4.07,269,8.4
2014,1,2,1,55,0.78,5.26,4.18,264,8.4
2014,1,2,2,25,0.77,5,4.12,264,8.4
2014,1,2,2,55,0.71,4.55,4.09,270,8.4
