Selection,View,Channel,BeginTime_s_,EndTime_s_,LowFreq_Hz_,HighFreq_Hz_,BeginDate,BeginClockTime,EndClockTime,SNR_DB,Confidence__,Class,Cod_Y_N__
1494,Spectrogram 1,8,24603.6,24603.72,77.8,312.5,2013/11/2,06:50:03.600,06:50:03.720,23.8,37.4,Acod,Q
20,Spectrogram 1,8,565.5,565.66,22.9,312.5,2013/11/3,00:09:25.500,00:09:25.660,13.4,99.9,Acod,Q
67,Spectrogram 1,9,1962,1962.15,62.5,296.9,2013/11/3,00:32:42.000,00:32:42.150,22.1,37.4,Acod,Q
125,Spectrogram 1,3,57030.3,57030.42,70.3,312.5,2013/11/4,15:50:30.300,15:50:30.420,9.5,100,Acod,Q
54,Spectrogram 1,7,20929.6,20929.7,85.9,328.1,2013/11/4,05:48:49.600,05:48:49.700,12.7,37.4,Acod,Q
60,Spectrogram 1,7,21601.4,21601.52,54.7,328.1,2013/11/4,06:00:01.400,06:00:01.520,11.8,41,Acod,Q
94,Spectrogram 1,7,25971.8,25971.91,71.9,320.3,2013/11/4,07:12:51.800,07:12:51.910,5.1,100,Acod,Q
242,Spectrogram 1,9,11941.6,11941.74,47.5,265.6,2013/11/4,03:19:01.600,03:19:01.740,7.5,100,Acod,Q
319,Spectrogram 1,9,26127.9,26128.05,63.9,335.9,2013/11/4,07:15:27.900,07:15:28.050,5.9,51.1,Acod,Q
325,Spectrogram 1,9,28197.5,28197.62,37.8,320.3,2013/11/4,07:49:57.500,07:49:57.620,6.8,77.9,Acod,Q
447,Spectrogram 1,9,38294.4,38294.61,54.7,312.5,2013/11/4,10:38:14.400,10:38:14.610,3.7,90.2,Acod,Q
470,Spectrogram 1,9,25662.7,25662.87,54.7,335.9,2013/11/6,07:07:42.700,07:07:42.870,7.4,51.7,Acod,Q
599,Spectrogram 1,9,43348.7,43348.86,67.7,320.3,2013/11/7,12:02:28.700,12:02:28.860,15.1,100,Acod,Q
384,Spectrogram 1,7,61636.3,61636.36,93.8,328.1,2013/11/11,17:07:16.300,17:07:16.360,9.3,81.8,Acod,Y
385,Spectrogram 1,7,61636.3,61636.36,93.8,328.1,2013/11/11,17:07:16.300,17:07:16.360,9.3,81.8,Acod,Y
629,Spectrogram 1,7,81616,81616.09,95.6,320.3,2013/11/11,22:40:16.000,22:40:16.090,9.3,81.8,Acod,Y
355,Spectrogram 1,9,22745.2,22745.34,70.3,335.9,2013/11/13,06:19:05.200,06:19:05.340,14.2,89.3,Acod,Q
356,Spectrogram 1,9,22745.8,22745.93,72.9,335.9,2013/11/13,06:19:05.800,06:19:05.930,12.9,53.6,Acod,Q
23,Spectrogram 1,9,762.8,763.03,66.9,335.9,2013/11/17,00:12:42.800,00:12:43.030,4,56.3,Acod,Y
560,Spectrogram 1,9,23807.2,23807.43,62.5,335.9,2013/11/17,06:36:47.200,06:36:47.430,2.5,45.5,Acod,Y
574,Spectrogram 1,9,24089.1,24089.32,51.9,328.1,2013/11/17,06:41:29.100,06:41:29.320,5.4,59.8,Acod,Y
596,Spectrogram 1,9,24533.4,24533.63,20,289.1,2013/11/17,06:48:53.400,06:48:53.630,7.5,65.2,Acod,Y
598,Spectrogram 1,9,24544.3,24544.41,63.7,257.8,2013/11/17,06:49:04.300,06:49:04.410,5.4,82.6,Acod,Y
599,Spectrogram 1,9,24544.3,24544.42,22.2,250,2013/11/17,06:49:04.300,06:49:04.420,5.6,85.9,Acod,Y
603,Spectrogram 1,9,24583.6,24583.86,28.4,320.3,2013/11/17,06:49:43.600,06:49:43.860,2.9,45.3,Acod,Y
707,Spectrogram 1,9,28123.8,28124,20,335.9,2013/11/17,07:48:43.800,07:48:44.000,4.8,37.3,Acod,Y
1137,Spectrogram 1,9,40123.5,40123.66,71.1,320.3,2013/11/17,11:08:43.500,11:08:43.660,4,39.8,Acod,Y
1206,Spectrogram 1,9,43128.6,43128.72,20,328.1,2013/11/17,11:58:48.600,11:58:48.720,10.7,100,Acod,Y
1208,Spectrogram 1,9,43152.9,43153.09,20,281.3,2013/11/17,11:59:12.900,11:59:13.090,8.4,100,Acod,Y
1210,Spectrogram 1,9,43160.1,43160.24,93.8,328.1,2013/11/17,11:59:20.100,11:59:20.240,9.4,87.9,Acod,Y
