Selection,View,Channel,BeginTime_s_,EndTime_s_,LowFreq_Hz_,HighFreq_Hz_,BeginDate,BeginClockTime,EndClockTime,SNR_DB,Confidence__,Class,Cod_Y_N__
23,Spectrogram 1,9,762.8,763.03,66.9,335.9,2013/11/17,00:12:42.800,00:12:43.030,4,56.3,Acod,Y
560,Spectrogram 1,9,23807.2,23807.43,62.5,335.9,2013/11/17,06:36:47.200,06:36:47.430,2.5,45.5,Acod,Y
574,Spectrogram 1,9,24089.1,24089.32,51.9,328.1,2013/11/17,06:41:29.100,06:41:29.320,5.4,59.8,Acod,Y
596,Spectrogram 1,9,24533.4,24533.63,20,289.1,2013/11/17,06:48:53.400,06:48:53.630,7.5,65.2,Acod,Y
598,Spectrogram 1,9,24544.3,24544.41,63.7,257.8,2013/11/17,06:49:04.300,06:49:04.410,5.4,82.6,Acod,Y
599,Spectrogram 1,9,24544.3,24544.42,22.2,250,2013/11/17,06:49:04.300,06:49:04.420,5.6,85.9,Acod,Y
603,Spectrogram 1,9,24583.6,24583.86,28.4,320.3,2013/11/17,06:49:43.600,06:49:43.860,2.9,45.3,Acod,Y
707,Spectrogram 1,9,28123.8,28124,20,335.9,2013/11/17,07:48:43.800,07:48:44.000,4.8,37.3,Acod,Y
1137,Spectrogram 1,9,40123.5,40123.66,71.1,320.3,2013/11/17,11:08:43.500,11:08:43.660,4,39.8,Acod,Y
1206,Spectrogram 1,9,43128.6,43128.72,20,328.1,2013/11/17,11:58:48.600,11:58:48.720,10.7,100,Acod,Y
1208,Spectrogram 1,9,43152.9,43153.09,20,281.3,2013/11/17,11:59:12.900,11:59:13.090,8.4,100,Acod,Y
1210,Spectrogram 1,9,43160.1,43160.24,93.8,328.1,2013/11/17,11:59:20.100,11:59:20.240,9.4,87.9,Acod,Y
1211,Spectrogram 1,9,43163.6,43163.79,60.1,335.9,2013/11/17,11:59:23.600,11:59:23.790,17.4,100,Acod,Y
1213,Spectrogram 1,9,43202.4,43202.59,85.3,335.9,2013/11/17,12:00:02.400,12:00:02.590,9.9,100,Acod,Y
1214,Spectrogram 1,9,43206.3,43206.46,20,335.9,2013/11/17,12:00:06.300,12:00:06.460,8.1,100,Acod,Y
1215,Spectrogram 1,9,43215.9,43216.1,20,328.1,2013/11/17,12:00:15.900,12:00:16.100,8.1,100,Acod,Y
1217,Spectrogram 1,9,43227.2,43227.36,26.2,328.1,2013/11/17,12:00:27.200,12:00:27.360,7.3,100,Acod,Y
1220,Spectrogram 1,9,43230.1,43230.31,20,335.9,2013/11/17,12:00:30.100,12:00:30.310,7.3,100,Acod,Y
1530,Spectrogram 1,9,59134.3,59134.44,20,335.9,2013/11/17,16:25:34.300,16:25:34.440,9.1,37.4,Acod,Y
1531,Spectrogram 1,9,59136.6,59136.75,71.9,335.9,2013/11/17,16:25:36.600,16:25:36.750,9.9,37.4,Acod,Y
1532,Spectrogram 1,9,59137.9,59138.04,67.9,320.3,2013/11/17,16:25:37.900,16:25:38.040,5.7,54.9,Acod,Y
1548,Spectrogram 1,9,59580.6,59580.74,85.9,250,2013/11/17,16:33:00.600,16:33:00.740,5.7,38.3,Acod,Y
1562,Spectrogram 1,9,60215.8,60216.06,46.6,320.3,2013/11/17,16:43:35.800,16:43:36.060,4.7,86,Acod,Y
1698,Spectrogram 1,9,65795.4,65795.59,83.3,335.9,2013/11/17,18:16:35.400,18:16:35.590,9.2,37.4,Acod,Y
1716,Spectrogram 1,9,66364.2,66364.37,46.7,335.9,2013/11/17,18:26:04.200,18:26:04.370,5.5,39.5,Acod,Y
1723,Spectrogram 1,9,66463.1,66463.3,58.1,328.1,2013/11/17,18:27:43.100,18:27:43.300,4.6,67.2,Acod,Y
1744,Spectrogram 1,9,67144.5,67144.69,20,328.1,2013/11/17,18:39:04.500,18:39:04.690,6.8,37.4,Acod,Y
1809,Spectrogram 1,9,69019.3,69019.49,35.8,328.1,2013/11/17,19:10:19.300,19:10:19.490,4.1,65.1,Acod,Y
1812,Spectrogram 1,9,69051.3,69051.42,55.6,320.3,2013/11/17,19:10:51.300,19:10:51.420,6.2,97.8,Acod,Y
1820,Spectrogram 1,9,69231,69231.23,31.7,335.9,2013/11/17,19:13:51.000,19:13:51.230,4.7,43.5,Acod,Y
1827,Spectrogram 1,9,69539.8,69540,20,312.5,2013/11/17,19:18:59.800,19:19:00.000,3.8,37.1,Acod,Y
1838,Spectrogram 1,9,70025.7,70025.87,72.8,328.1,2013/11/17,19:27:05.700,19:27:05.870,5.3,85.8,Acod,Y
