Datetime,Sei,Fin,Right,Humpback,Other,Duration,Latitude,Longitude
12/21/2019 8:55,0,20,1,1,144,809,,
12/21/2019 9:10,0,20,0,2,109,900,41.2599,-70.9898
12/21/2019 9:13,0,2,0,0,59,186,41.2599,-70.9898
12/21/2019 9:19,0,0,0,0,0,0,41.2599,-70.9898
12/21/2019 9:25,0,8,0,0,52,333,41.2589,-70.9916
12/21/2019 9:40,0,12,0,0,123,900,41.2576,-70.9956
12/21/2019 9:49,0,4,0,0,62,542,41.2576,-70.9956
12/21/2019 10:05,0,0,0,0,0,0,41.257,-70.9972
12/21/2019 10:10,0,12,0,0,28,293,41.2551,-71.0008
12/21/2019 10:25,0,13,0,0,120,900,41.2537,-71.0042
12/21/2019 10:34,0,11,0,0,71,574,41.2537,-71.0042
12/21/2019 10:49,0,0,0,0,0,0,41.253,-71.0057
12/21/2019 10:55,0,10,0,0,38,374,41.2516,-71.0097
12/21/2019 11:10,0,19,0,0,98,900,41.2502,-71.0132
12/21/2019 11:18,0,9,0,0,82,495,41.2502,-71.0132
12/21/2019 11:30,0,0,0,0,0,0,41.2499,-71.0154
12/21/2019 11:40,0,13,0,0,82,616,41.2486,-71.0181
12/21/2019 11:55,0,20,0,0,98,900,41.2469,-71.0204
12/21/2019 11:59,0,3,0,0,31,260,41.2469,-71.0204
12/21/2019 12:47,0,0,0,0,0,0,41.2499,-71.027
12/21/2019 12:55,1,12,0,0,35,477,41.2496,-71.029
12/21/2019 13:10,0,39,0,1,122,900,41.2484,-71.0309
12/21/2019 13:16,0,14,0,0,62,400,41.2484,-71.0309
12/21/2019 13:43,0,0,0,0,0,0,41.251,-71.0344
12/21/2019 13:55,0,24,0,1,160,734,41.2505,-71.0355
12/21/2019 14:10,0,26,0,0,139,900,41.2496,-71.0364
12/21/2019 14:25,0,32,0,0,128,900,41.2488,-71.0374
12/21/2019 14:40,0,32,0,0,134,900,41.2479,-71.0383
12/21/2019 14:55,0,33,0,0,154,900,41.247,-71.0392
12/21/2019 15:10,0,28,0,0,115,900,41.2462,-71.0401
12/21/2019 15:25,0,17,0,0,82,900,41.2453,-71.0411
12/21/2019 15:40,0,33,0,0,91,900,41.2444,-71.042
12/21/2019 15:42,0,4,0,0,26,157,41.2444,-71.042
